reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,review_date,appVersion
c39ef87d-e442-4f7f-a960-9f9abc072611,Abirham Agent,best,5,1,24.03.04,2024-04-28 13:37:25,24.03.04
a8ee8ee6-d73f-4144-ad45-fb25582a8b25,AB Entertainment,More failure after update. have multiple connection problem issues. To make one request i'm try more then 4 or 5 times pre every process. Works not more than 8 hour in a day 24 hour.,1,17,24.04.23,2024-04-28 13:02:24,24.04.23
6e540a39-b5f3-44a6-856a-e4f8f0f226af,Abey Mulatu,It is not good slow app,1,1,24.03.04,2024-04-28 07:09:27,24.03.04
be0151f5-b66b-4700-bcd8-d659fd821c44,Samuel Ayana,Good,5,1,24.03.04,2024-04-27 23:30:46,24.03.04
6a5b273b-d9d2-47f4-b992-df36fec86cbb,Hawi Adicho,"Nn ,n An, NNE.",2,2,23.12.09,2024-04-27 20:50:35,23.12.09
318513af-9b29-43c1-990d-fc4a678802f3,Phoenix Virgo,It is not fast when sending mony,2,2,24.03.04,2024-04-27 19:33:54,24.03.04
acc4256d-ac62-4abd-908e-ebea3ace060a,Temesgen Yekoye,Nice,1,1,24.04.23,2024-04-27 14:01:45,24.04.23
45a55117-6322-4d59-b931-415173ccd8c1,Ahadu tech,It doesn't look like banking app it's unresponsive worest banking app in the world,2,4,24.03.04,2024-04-27 13:02:45,24.03.04
182ff188-5ec0-4a02-9423-752573aa862e,Liul Bekalu,Hard to access pls modify it,2,1,24.04.23,2024-04-27 12:20:02,24.04.23
4295a88b-b1fb-4a30-b1c8-e4b4c505c9ea,Betsegaw Daniel,የተመታ app new,1,0,24.03.04,2024-04-27 10:47:47,24.03.04
90078873-2750-4192-8314-7b85a6873595,Israel Adane,👍,5,1,24.02.14,2024-04-27 03:48:55,24.02.14
cf9093f2-8cde-4168-89ea-bc2a2c147a8b,Aschalew Zawde,Wowwwwww,5,1,24.03.04,2024-04-26 23:16:51,24.03.04
e31e274a-a56f-4b24-95c5-796c1f6cf19f,Umear “Shushu” Sisay,Very good application and easy too use,5,3,24.03.04,2024-04-26 22:58:18,24.03.04
22e7481e-cfcc-443f-9e39-cc58ce1e955d,munzer ahmed,This application says system error most of the time.,1,1,24.04.23,2024-04-26 22:40:53,24.04.23
6591206a-6634-4912-ab3c-c52bd283b49d,Aman Awol,"What a useless app, didn't expect this kind of app from BOA",1,1,24.04.23,2024-04-26 21:51:55,24.04.23
5dd2743e-a3e7-4972-b52d-c556bccc1a02,Bitew Banteyirga,Fantastic app in history Ethiopia,5,1,24.03.04,2024-04-26 18:59:52,24.03.04
b90ea441-ca3d-4150-b2d0-50841186b274,Alemigizaw Esayas,What an app what a service it is user friendly and so easy,5,26,24.03.04,2024-04-26 16:11:23,24.03.04
af0d43ef-f4a5-4f20-8506-d7506e7be31f,anteneh admasu,The new update 😔 It's crash every time I open (samsung A series),1,2,24.04.23,2024-04-26 15:53:36,24.04.23
8894f912-aa77-4ab9-bcc8-686aaecbb44c,Dumesa Tefera,To difficult to use it have too long step and not easy.,5,30,24.03.04,2024-04-26 15:35:08,24.03.04
51965878-caac-473c-bc85-7c760b058f59,Explore Ethiopia,"I have never seen an app like these. It is slow and doesn't respond quickly.It always says "" see device connectivity "" "" which is annoying.If there is a rating called 0 then I will give it 0. Please learn from other competitive apps like telebirr that is fast and easy to use.",1,64,24.03.04,2024-04-26 14:28:08,24.03.04
7c6b6447-e777-49e5-976f-bbd2e634290d,Henok Wondwossen,Best service and ideas but poor application...develop a better app,2,3,24.04.23,2024-04-26 12:39:53,24.04.23
